sample,pluton,age_Ma,age_Ma_error,Y_cn
KP13-01A,Krestof Island,52.1,1,17.41
CP13-01,Crawfish Inlet,52.2,0.9,19.5
CP13-03A,Crawfish Inlet,48.6,1.2,11.45
CP13-03B,Crawfish Inlet,48.6,1.2,6.41
CP13-03C,Crawfish Inlet,48.6,1.2,11.78
CP13-03D,Crawfish Inlet,48.6,1.2,13.85
CP13-04,Crawfish Inlet,48,1,6.05
CP13-05A,Crawfish Inlet,50.5,0.9,10.15
CP13-07A,Crawfish Inlet,51.2,0.9,9.88
CP13-07C,Crawfish Inlet,51.2,0.9,19.38
CP13-09A,Crawfish Inlet,47.3,1.2,12.31
CP13-09B,Crawfish Inlet,47.3,1.2,8.64
CP13-09C,Crawfish Inlet,47.3,1.2,10.24
CP13-13,Crawfish Inlet,53.1,0.8,23.34